,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
207,GREEDYFP,1849,2.8032123915142187e-06,2.7438203562301097e-06,0.0007534918639293804,0.0007580920299373855,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_210004,400,7,4.600166008005089e-06,5.9392035284109066e-08
208,GREEDYFP,1849,2.647686659738417e-06,3.0398564029426015e-06,0.0007724006483892404,0.0008069116786842627,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_210201,400,8,3.4511030295022223e-05,3.9216974320418435e-07
209,GREEDYFP,1849,2.7674232336437966e-06,3.29284707050739e-06,0.0007937126072986648,0.0008580409132075259,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_210358,400,9,6.432830590886107e-05,5.254238368635934e-07
18,Grid,25,0.0066474441319598,0.0012181973616646,0.0386845487668217,0.0180868992191011,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183545,190.0,0,0.0205976495477206,0.0054292467702952
19,Grid,25,0.0034255440025566,0.0007215736745426,0.0333841593348594,0.0133894562005988,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183554,400.0,1,0.0199947031342606,0.0027039703280139
20,Grid,25,0.0070064908934251,0.0011654889456203,0.0400352950405241,0.0189303479847216,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_183610,205.0,2,0.0211049470558025,0.0058410019478048
42,Grid,25,0.00723208815885792,0.0011734303409556208,0.03819637633342253,0.019366108111585588,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195144,198,3,0.018830268221836942,0.006058657817902299
43,Grid,25,0.0037347756337149877,0.0009069386943100407,0.03504154664766932,0.015992582666641646,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195153,400,4,0.019048963981027674,0.002827836939404947
44,Grid,25,0.003820803978527925,0.0008526277619852791,0.035381239548570635,0.015892720796701548,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195208,400,5,0.019488518751869088,0.002968176216542646
45,Grid,25,0.003069539612660925,0.00204903726318198,0.03293101728211388,0.025472477944455518,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_195224,400,6,0.007458539337658363,0.0010205023494789449
