index,method,n,mse_run,mse_method,mae_run,mae_method,me_run,me_method,hp,uid,epochs,fold,mae_diff,mse_diff,bias_method,bias_run
58,Random,1849,2.9614001185506624e-06,3.833890181676533e-06,0.0007230084173558,0.0008208788109173,-0.0001608044686741,-0.0002523196836089,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132200,400,8,9.787039356145026e-05,8.72490063125871e-07,0.0166059067212655,0.0087317066625362
59,Random,1849,5.803694857633581e-05,6.278485419654462e-05,0.0040515264111779,0.0041170181195825,0.0006593674566202,0.0006749588701344,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132254,195,9,6.549170840454508e-05,4.747905620208809e-06,0.0072560410022929,0.0074911836944347
60,Grid,25,0.005408953953175,0.0238050406724254,0.0343870392350613,0.0586994204612303,-0.0098956631200589,-0.0254624754724593,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132321,299,0,0.024312381226169,0.0183960867192503,0.0272353097861578,0.0181040824960641
61,Grid,25,0.0062060378540514,0.0235319105355803,0.0402043264121419,0.0628204367105713,-0.004534680608715,-0.0200847162551081,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132334,267,1,0.0226161102984293,0.0173258726815288,0.0171425021541821,0.0033134390583247
62,Grid,25,0.007573181811451,0.0242821861188428,0.0452588078092735,0.0596636585137282,-0.0035183415320553,-0.0222749046351329,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132345,218,2,0.0144048507044547,0.0167090043073918,0.020433554626255,0.0016345477296568
63,Grid,25,0.0069068404781762,0.0240889979082826,0.0373820894327992,0.0615546851301297,-0.0137654458606525,-0.0268876379208075,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132355,205,3,0.0241725956973304,0.0171821574301064,0.0300114216337689,0.0274347583879035
64,Grid,25,0.0068178646386622,0.0243334366738643,0.0368707135873858,0.0601675458981589,-0.0152369973213496,-0.0264152996410317,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132404,202,4,0.0232968323107731,0.017515572035202,0.0286752777454958,0.0340526102636689
65,Grid,25,0.0022196105628666,0.0019625548180081,0.0272726151840408,0.0260131850936144,0.0087740458348856,0.0163805416749955,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132414,324,5,0.0012594300904264,0.0002570557448584,0.136720841173035,0.0346835078191596
66,Grid,25,0.0070130744781155,0.0242212256774994,0.0376510450716631,0.0594501488662231,-0.0152290349108833,-0.0235030446369834,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132427,263,6,0.0217991037945599,0.0172081511993838,0.0228061583077188,0.0330701613166415
67,Grid,25,0.0068240895022054,0.0242113279416461,0.040910578500643,0.0612572683856958,-0.0069268982856153,-0.0246715793121973,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132438,271,7,0.0203466898850528,0.0173872384394406,0.0251405799477457,0.0070312559417272
68,Grid,25,0.0078194964499654,0.0247151415613099,0.0376847716328351,0.0592064780888743,-0.0227554587318239,-0.0270787531919413,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132452,278,8,0.0215217064560392,0.0168956451113445,0.0296684068189981,0.066220491998309
69,Grid,25,0.0235911030303312,0.0258265168776463,0.0868118101859545,0.0982724625013702,-0.0054752491134419,0.0350835328487311,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132504,135,9,0.0114606523154157,0.002235413847315,0.0476585473364138,0.0012707482484267
70,Grid,49,0.001850543958797,0.000269716930908,0.0219574162948383,0.0071002638131846,0.0035504025867153,-0.0027936606709693,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_132511,340,0,0.0148571524816537,0.0015808270278889,0.0289360401597545,0.0068117044546994
