index,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
43,Grid - sparse,529,3.071731302692045e-05,3.3098217971342444e-06,0.001655306100961515,0.0007983269648468584,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121634,400,3,0.0008569791361146567,2.7407491229786205e-05
44,Grid - sparse,529,0.0003829762299560529,0.0002620154547594337,0.009181877110792,0.00784960122785549,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121701,181,4,0.0013322758829365112,0.00012096077519661917
45,Grid - sparse,529,2.8892661937625522e-05,7.057686274118761e-06,0.0017798988897490622,0.0010474468309403537,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121717,400,5,0.0007324520588087085,2.183497566350676e-05
46,Grid - sparse,529,2.8846639463481615e-05,7.358465417243306e-06,0.0017700449051517686,0.0011003381687323534,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121745,400,6,0.0006697067364194152,2.148817404623831e-05
47,Grid - sparse,529,2.8665964183792788e-05,1.4649488201267793e-05,0.0019999948469996893,0.0017251266708905998,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121812,400,7,0.0002748681761090895,1.4016475982524995e-05
48,Grid - sparse,529,2.880950621057944e-05,1.171219824524749e-05,0.0018253504398529493,0.0015332264328565596,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121841,400,8,0.00029212400699638974,1.709730796533195e-05
49,Grid - sparse,529,2.018994336661625e-05,4.1512783593216814e-06,0.0014657464628078409,0.0009049890314226064,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121909,400,9,0.0005607574313852344,1.603866500729457e-05
50,Grid - sparse,1849,5.530465393557668e-06,5.607115865807046e-06,0.0009281735650602597,0.0009681508041760321,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_121936,400,0,3.997723911577239e-05,7.665047224937789e-08
51,Grid - sparse,1849,4.909716485108587e-06,4.066382125843918e-06,0.0008628478493843801,0.0008269313011979922,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122030,400,1,3.591654818638798e-05,8.433343592646688e-07
52,Grid - sparse,1849,1.1310187241196191e-05,1.100878805982338e-05,0.00118760289594016,0.0011227267520577918,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_122130,400,2,6.487614388236821e-05,3.0139918137281105e-07
